player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,median_receiving_yards,median_receiving_tds,median_receptions,p10_receiving_yards,p10_receiving_tds,p10_receptions,p90_receiving_yards,p90_receiving_tds,p90_receptions
00-0031408,Mike Evans,1013.9,8.1,54.7,534.7,5.3,41.7,50.4,0.5,4.2,2333.1,19.3,120.6
00-0035676,A.J. Brown,1004.9,6.5,48.7,535.5,4.0,37.3,47.1,0.2,3.4,2332.3,16.1,106.2
00-0036407,Jerry Jeudy,1003.1,4.7,55.3,548.5,2.9,42.6,53.3,0.1,4.2,2311.8,11.8,119.9
00-0035640,DK Metcalf,973.7,5.1,46.9,503.1,3.1,35.2,43.8,0.1,3.4,2171.3,12.7,104.0
00-0034348,Courtland Sutton,950.3,6.0,52.7,508.2,3.6,40.8,51.4,0.2,4.0,2163.0,14.9,114.1
00-0034960,Jakobi Meyers,942.9,4.8,58.8,499.6,2.8,45.2,48.0,0.1,4.5,2118.1,12.0,128.6
00-0038679,Tyrell Shavers,933.1,9.7,17.3,509.8,6.8,11.1,43.7,0.6,0.8,2161.0,22.5,40.6
00-0036259,Jauan Jennings,932.4,5.6,54.0,489.6,3.4,41.3,45.9,0.2,3.9,2106.2,13.9,118.0
00-0035659,Terry McLaurin,922.7,8.3,50.5,503.2,5.6,38.5,46.4,0.5,3.7,2090.8,19.6,110.2
00-0038543,Jaxon Smith-Njigba,919.8,5.3,59.8,486.1,3.2,45.5,43.1,0.1,4.1,2140.0,13.2,131.7
00-0037247,George Pickens,913.7,4.9,45.5,501.5,2.9,34.4,42.0,0.1,3.0,2092.9,12.4,100.3
00-0037740,Garrett Wilson,897.5,5.5,59.3,480.8,3.3,45.6,42.6,0.2,4.6,2078.1,13.8,128.5
00-0039064,Zay Flowers,890.8,4.6,45.8,471.6,2.7,35.2,41.7,0.1,3.2,2041.3,11.6,99.6
00-0037240,Jameson Williams,886.6,5.8,40.3,469.9,3.5,30.0,46.7,0.2,2.9,2039.8,14.5,90.6
