player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,mean_rushing_yards,mean_rushing_tds,mean_fumbles,median_receiving_yards,median_receiving_tds,median_receptions,median_rushing_yards,median_rushing_tds,median_fumbles,p10_receiving_yards,p10_receiving_tds,p10_receptions,p10_rushing_yards,p10_rushing_tds,p10_fumbles,p90_receiving_yards,p90_receiving_tds,p90_receptions,p90_rushing_yards,p90_rushing_tds,p90_fumbles
00-0040729,Jack Bech,300.1,1.7,24.5,73.3,0.2,1.7,253.6,1.4,21.8,44.9,0.1,1.5,112.4,0.2,11.0,9.8,0.0,0.5,572.1,3.8,42.4,186.8,0.6,3.4
00-0040667,Matthew Golden,299.9,1.7,24.8,70.1,0.2,1.8,251.7,1.4,22.0,42.5,0.1,1.6,110.5,0.2,11.0,9.5,0.0,0.5,577.2,3.8,43.3,178.4,0.6,3.4
00-0040735,Luther Burden III,299.6,1.7,24.8,71.5,0.2,1.8,252.0,1.4,22.3,43.3,0.1,1.6,109.4,0.2,11.1,9.6,0.0,0.5,570.2,3.8,42.6,182.4,0.6,3.4
00-0035527,Andy Isabella,299.3,1.7,24.7,71.1,0.2,1.7,254.0,1.4,21.8,42.0,0.1,1.5,110.3,0.2,11.1,9.4,0.0,0.5,565.3,3.8,43.3,182.0,0.6,3.4
00-0032208,Phillip Dorsett,298.7,1.7,24.7,70.7,0.2,1.8,255.3,1.4,22.0,42.9,0.1,1.6,110.4,0.2,11.0,9.4,0.0,0.5,566.2,3.8,43.0,179.5,0.6,3.4
00-0036936,Rondale Moore,297.4,1.7,24.8,71.9,0.2,1.8,249.0,1.4,22.3,43.4,0.1,1.5,112.0,0.2,11.1,9.7,0.0,0.5,562.1,3.8,43.2,183.3,0.6,3.4
00-0040129,Emeka Egbuka,297.2,1.7,24.6,72.1,0.2,1.7,250.4,1.4,22.0,43.9,0.1,1.5,111.9,0.2,11.1,9.7,0.0,0.5,567.1,3.8,42.9,182.2,0.6,3.3
00-0040727,Tre Harris,296.7,1.7,24.6,71.0,0.2,1.8,251.1,1.4,22.1,42.1,0.1,1.6,110.5,0.2,10.9,9.6,0.0,0.5,564.4,3.8,43.1,179.8,0.6,3.4
00-0036412,KJ Hamler,295.7,1.7,24.7,71.6,0.2,1.8,248.7,1.4,22.0,42.3,0.1,1.5,109.3,0.2,11.2,9.8,0.0,0.5,564.1,3.8,42.8,181.9,0.6,3.4
00-0040124,Tetairoa McMillan,295.3,1.7,24.6,72.6,0.2,1.8,250.6,1.4,22.0,43.3,0.1,1.6,110.7,0.2,11.0,9.7,0.0,0.5,557.5,3.7,43.1,187.0,0.6,3.4
00-0039890,Adonai Mitchell,292.0,0.1,21.4,2.3,0.0,2.2,246.5,0.0,19.1,0.9,0.0,2.0,108.3,0.0,9.6,0.0,0.0,0.7,553.7,0.6,37.3,7.0,0.0,4.0
00-0036626,Dyami Brown,288.8,0.8,27.8,11.0,0.0,1.1,244.4,0.6,24.7,6.2,0.0,0.9,107.1,0.0,12.5,0.7,0.0,0.2,546.8,2.2,48.7,29.2,0.0,2.4
00-0033307,Kendrick Bourne,284.6,0.8,26.2,2.3,0.0,0.2,239.3,0.5,23.3,0.9,0.0,0.0,106.0,0.0,11.8,0.0,0.0,0.0,542.1,2.1,45.7,6.8,0.0,0.7
00-0033536,Mike Williams,279.4,0.8,19.5,0.1,0.0,0.2,236.5,0.6,17.3,0.0,0.0,0.0,105.0,0.0,8.6,0.0,0.0,0.0,531.7,2.1,34.3,0.1,0.0,0.7
00-0035406,Lil'Jordan Humphrey,274.4,0.8,28.7,0.1,0.0,2.2,229.1,0.6,25.7,0.0,0.0,2.0,101.5,0.0,13.0,0.0,0.0,0.7,526.2,2.2,49.4,0.1,0.0,4.0
00-0036427,Tyler Johnson,272.8,0.9,24.0,0.1,0.0,0.2,228.5,0.6,21.4,0.0,0.0,0.0,102.7,0.0,10.7,0.0,0.0,0.0,522.6,2.2,41.7,0.1,0.0,0.7
00-0039751,Jordan Whittington,272.0,0.1,20.5,4.8,0.0,0.2,228.9,0.0,18.3,2.5,0.0,0.0,101.4,0.0,9.1,0.0,0.0,0.0,513.4,0.6,35.9,13.5,0.0,0.7
00-0034386,Justin Watson,268.6,1.7,20.6,0.1,0.0,0.2,226.3,1.4,18.5,0.0,0.0,0.0,101.0,0.2,9.1,0.0,0.0,0.0,510.4,3.7,35.7,0.1,0.0,0.7
00-0039067,Rashee Rice,268.5,1.7,22.2,0.3,0.0,0.2,226.2,1.4,20.0,0.0,0.0,0.0,100.0,0.2,9.9,0.0,0.0,0.0,511.8,3.7,38.8,1.3,0.0,0.7
00-0036415,Van Jefferson,258.2,1.7,22.4,0.1,0.0,0.2,216.8,1.4,20.0,0.0,0.0,0.0,95.2,0.2,10.0,0.0,0.0,0.0,491.4,3.7,38.9,0.1,0.0,0.7
00-0039868,Troy Franklin,246.0,1.7,26.2,3.1,0.0,0.2,208.3,1.4,23.4,1.4,0.0,0.0,91.7,0.2,11.9,0.0,0.0,0.0,471.6,3.7,45.3,9.1,0.0,0.7
00-0031236,Brandin Cooks,243.4,2.5,24.1,0.0,0.0,0.2,203.2,2.1,21.5,0.0,0.0,0.0,89.6,0.6,10.7,0.0,0.0,0.0,468.8,5.2,42.2,0.0,0.0,0.7
